station,lat,lon,obs_count,mean_T_count,max_T_count,min_T_count,DTR_T_count,mean_T_ratio,max_T_ration,min_T_ratio,DTR_T_ratio,
85934099999,-53.002642,-70.854586,18252,0,22,18,77,0,0.001205347,0.000986193,0.004218716,
93944099999,-52.55,169.15,6446,0,13,0,14,0,0.002016755,0,0.00217189,
93945099999,-52.55,169.167,2035,0,0,1,0,0,0,0.0004914,0,
93947099999,-52.55,169.15,9782,0,1,2,1,0,0.000102229,0.000204457,0.000102229,
88897099999,-52.4333333,-59.0833333,8423,0,2,1,4,0,0.000237445,0.000118723,0.00047489,
85930099999,-52.4,-75.1,9297,0,11,3,23,0,0.001183177,0.000322685,0.002473916,
88894099999,-52.15,-60.6,2778,0,0,0,0,0,0,0,0,
88884099999,-51.937,-60.062,1431,0,0,2,21,0,0,0.001397624,0.014675052,
88883099999,-51.9,-60.9166666,9839,0,3,1,5,0,0.000304909,0.000101636,0.000508182,
88889099999,-51.822777,-58.447222,13802,0,11,3,23,0,0.000796986,0.00021736,0.001666425,
88891099999,-51.685672,-57.777644,3714,1,3,0,2,0.000269251,0.000807754,0,0.000538503,
85921099999,-51.671475,-72.52835,4631,4,6,35,19,0.000863744,0.001295616,0.007557763,0.004102786,
88881099999,-51.6666666,-58.1,2360,0,4,0,4,0,0.001694915,0,0.001694915,
87925099999,-51.608875,-69.312636,18369,7,32,37,90,0.000381077,0.001742065,0.002014263,0.004899559,
88870099999,-51.4166666,-60.5666666,2761,0,2,0,1,0,0.000724375,0,0.000362188,
88878099999,-51.3166666,-59.6,7939,0,2,3,5,0,0.000251921,0.000377881,0.000629802,
93929099999,-50.4833333,166.3,10661,0,4,0,3,0,0.000375199,0,0.000281399,
87903099999,-50.333,-72.3,6912,1,9,16,37,0.000144676,0.001302083,0.002314815,0.005353009,
87904099999,-50.2666666,-72.05,7465,6,2,23,38,0.000803751,0.000267917,0.003081045,0.005090422,
87912099999,-50.01655,-68.579197,5591,3,28,44,80,0.000536577,0.005008049,0.007869791,0.01430871,
61998099999,-49.35,70.25,16539,1,116,5,116,6.05E-05,0.007013725,0.000302316,0.007013725,
87909099999,-49.306775,-67.802589,17603,22,158,57,212,0.001249787,0.008975743,0.003238084,0.012043402,
87880099999,-48.7833333,-70.1666667,3952,6,9,46,47,0.001518219,0.002277328,0.011639676,0.011892713,
71196599999,-48.167,-52.933,1108,3,18,3,10,0.002707581,0.016245487,0.002707581,0.009025271,
93713099999,-47.98,168.62,2320,0,0,0,0,0,0,0,0,
87896099999,-47.735292,-65.904097,7111,16,50,25,106,0.002250035,0.00703136,0.00351568,0.014906483,
93909099999,-47.2666666,167.45,9663,0,1,0,0,0,0.000103488,0,0,
85892099999,-47.243847,-72.588417,3113,0,2,9,29,0,0.000642467,0.002891102,0.009315773,
68994099999,-46.874973,37.8599463,17222,1,22,7,27,5.81E-05,0.001277436,0.000406457,0.001567762,
85889099999,-46.8,-75.6333333,1052,0,0,0,1,0,0,0,0.00095057,
85886099999,-46.583341,-71.687405,1898,0,3,22,31,0,0.001580611,0.011591149,0.016332982,
87852099999,-46.5166667,-71.0166667,9269,20,30,65,82,0.00215773,0.003236595,0.007012623,0.008846693,
93887099999,-46.45,169.8166666,1586,0,2,0,4,0,0.001261034,0,0.002522068,
61997099999,-46.4333333,51.85,12540,9,59,5,48,0.000717703,0.004704944,0.000398724,0.003827751,
93845099999,-46.4166666,168.3333333,9787,1,8,11,21,0.000102176,0.000817411,0.00112394,0.002145703,
93844099999,-46.412408,168.312992,8110,1,11,19,32,0.000123305,0.00135635,0.002342787,0.003945746,
93806099999,-46.167,166.633,4695,0,11,8,20,0,0.002342918,0.00170394,0.004259851,
93805099999,-46.15,166.6,11329,0,0,2,1,0,0,0.000176538,8.83E-05,
93891099999,-45.9166666,170.1833333,7526,17,25,47,58,0.002258836,0.003321818,0.006245017,0.007706617,
85874099999,-45.916058,-71.689475,17567,23,22,273,364,0.001309273,0.001252348,0.015540502,0.020720669,
87860099999,-45.785347,-67.465508,18429,13,119,95,207,0.00070541,0.006457214,0.005154919,0.011232297,
93896099999,-45.767,170.733,10754,2,15,3,27,0.000185977,0.00139483,0.000278966,0.002510694,
85864099999,-45.594211,-72.106133,7254,5,13,28,74,0.000689275,0.001792115,0.003859939,0.010201268,
85862099999,-45.4,-72.7,7140,0,10,30,57,0,0.00140056,0.004201681,0.007983193,
93800099999,-45.2166666,166.8833333,10530,0,0,0,1,0,0,0,9.50E-05,
93831099999,-45.0166666,168.7333333,10348,2,11,24,32,0.000193274,0.001063007,0.002319289,0.003092385,
93796099999,-44.9666666,171.0833333,1569,0,2,0,5,0,0.001274697,0,0.003186743,
93721099999,-44.6666666,167.9166666,1579,0,1,0,1,0,0.000633312,0,0.000633312,
93747099999,-44.5166666,169.9,2289,1,4,15,12,0.000436872,0.001747488,0.00655308,0.005242464,
93775099999,-44.4,171.25,2097,0,5,3,12,0,0.002384359,0.001430615,0.005722461,
93773099999,-44.3,171.2333333,10014,11,72,26,107,0.001098462,0.007189934,0.002596365,0.010685041,
93987099999,-43.95,-176.5666666,4760,0,1,1,3,0,0.000210084,0.000210084,0.000630252,
93708099999,-43.867,169,1694,0,4,0,5,0,0.002361275,0,0.002951594,
93709099999,-43.8666666,169,15597,0,3,6,11,0,0.000192345,0.000384689,0.000705264,
87814099999,-43.8166667,-68.8833333,5048,5,8,122,111,0.000990491,0.001584786,0.024167987,0.021988906,
93985099999,-43.8166666,-176.4833333,6644,0,0,14,2,0,0,0.002107164,0.000301023,
93986099999,-43.81,-176.457222,5977,0,0,6,7,0,0,0.001003848,0.001171156,
93738099999,-43.7666666,170.1333333,1581,4,0,22,9,0.002530044,0,0.013915244,0.0056926,
93792099999,-43.7333333,173.1166666,1574,2,6,0,6,0.001270648,0.003811944,0,0.003811944,
94962099999,-43.65,146.2666666,12197,4,28,11,44,0.000327949,0.002295646,0.000901861,0.003607444,
85836099999,-43.6166667,-71.8166667,2745,0,3,25,62,0,0.001092896,0.009107468,0.022586521,
85834099999,-43.5666666,-74.8333333,1754,0,0,0,3,0,0,0,0.001710376,
94967099999,-43.5,147.15,11203,1,37,2,52,8.93E-05,0.003302687,0.000178524,0.004641614,
93780099999,-43.489358,172.532225,18515,17,65,80,219,0.000918174,0.003510667,0.004320821,0.011828247,
93781099999,-43.4833333,172.5166666,10643,9,48,48,114,0.000845626,0.004510007,0.004510007,0.010711266,
95967099999,-43.4833333,147.15,8080,1,33,1,30,0.000123762,0.004084158,0.000123762,0.003712871,
95986099999,-43.2333333,148,7445,1,14,1,11,0.000134318,0.001880457,0.000134318,0.001477502,
87828099999,-43.2105,-65.270319,18359,21,127,184,411,0.001143853,0.006917588,0.010022332,0.02238684,
85832099999,-43.2,-71.8166666,4139,4,6,26,73,0.000966417,0.001449626,0.006281711,0.01763711,
94977099999,-43.2,146.7666666,9717,5,63,2,72,0.000514562,0.006483483,0.000205825,0.007409694,
94978099999,-43.167,147.833,4304,1,8,2,26,0.000232342,0.001858736,0.000464684,0.006040892,
85831099999,-43.117,-73.633,1426,0,2,1,3,0,0.001402525,0.000701262,0.002103787,
85832699999,-43.1166666,-73.6333333,1285,1,0,3,1,0.00077821,0,0.00233463,0.00077821,
95962099999,-43.0666666,146.7,6888,7,21,14,26,0.00101626,0.00304878,0.00203252,0.003774681,
94988099999,-43.0666666,147.35,3499,0,4,0,13,0,0.001143184,0,0.003715347,
95958099999,-43.05,146.2666666,8007,6,81,2,83,0.000749344,0.010116148,0.000249781,0.01036593,
95961099999,-42.9833333,145.5,11228,1,20,1,28,8.91E-05,0.001781261,8.91E-05,0.002493766,
95977099999,-42.9833333,147.0666666,6868,20,35,70,68,0.002912056,0.005096098,0.010192196,0.00990099,
85830099999,-42.9166666,-72.7,2574,0,2,4,7,0,0.000777001,0.001554002,0.002719503,
87803099999,-42.90795,-71.139472,17969,24,43,127,307,0.001335634,0.00239301,0.007067728,0.01708498,
95979099999,-42.9,147.2333333,11762,8,18,8,48,0.000680156,0.001530352,0.000680156,0.004080939,
94951099999,-42.9,147.7833333,4287,1,7,0,7,0.000233263,0.001632843,0,0.001632843,
94970099999,-42.8833333,147.3333333,15472,7,106,6,80,0.00045243,0.006851086,0.000387797,0.005170631,
94975099999,-42.836111,147.510278,18242,4,80,13,89,0.000219274,0.004385484,0.000712641,0.004878851,
93614099999,-42.7166666,170.9833333,13498,0,8,19,26,0,0.00059268,0.001407616,0.001926211,
93615099999,-42.7166666,170.9833333,4900,0,0,2,1,0,0,0.000408163,0.000204082,
94964099999,-42.7166666,146.9,9142,1,26,31,62,0.000109385,0.002844017,0.003390943,0.006781886,
95972099999,-42.6833333,147.4166666,8570,6,30,26,42,0.000700117,0.003500583,0.003033839,0.004900817,
95988099999,-42.6666666,148.0166666,7015,1,4,0,7,0.000142552,0.000570207,0,0.000997862,
94957099999,-42.4833333,146.7166666,10085,5,23,45,101,0.000495786,0.002280615,0.004462072,0.010014874,
85825099999,-42.483,-73.767,1242,0,2,6,4,0,0.001610306,0.004830918,0.003220612,
94960099999,-42.45,147.4666666,9980,0,10,12,23,0,0.001002004,0.001202405,0.002304609,
93678099999,-42.4166666,173.7,9765,0,24,0,22,0,0.002457757,0,0.002252944,
85782599999,-42.3333333,-73.7166666,3213,0,0,1,8,0,0,0.000311236,0.002489885,
94959099999,-42.2833333,146.2833333,7424,4,15,44,44,0.000538793,0.002020474,0.005926724,0.005926724,
94974099999,-42.1986111,145.17,9715,2,3,7,4,0.000205867,0.000308801,0.000720535,0.000411734,
94956099999,-42.15,145.2833333,15352,12,37,32,50,0.000781657,0.002410109,0.002084419,0.003256905,
94985099999,-42.0333333,147.5,1592,0,0,14,32,0,0,0.00879397,0.020100503,
94987099999,-42,148.2833333,9231,1,29,2,25,0.000108331,0.003141588,0.000216661,0.002708266,
87800099999,-41.943189,-71.532289,4271,3,2,21,35,0.000702412,0.000468274,0.004916881,0.008194802,
85818099999,-41.9,-73.8,1130,0,5,6,10,0,0.004424779,0.005309735,0.008849558,
95959099999,-41.9,146.6666666,7498,3,6,38,49,0.000400107,0.000800213,0.005068018,0.006535076,
95952099999,-41.85,145.5333333,8443,0,6,5,4,0,0.000710648,0.000592207,0.000473765,
93516099999,-41.75,171.6,6642,0,5,0,5,0,0.000752785,0,0.000752785,
93515099999,-41.7333333,171.5666666,11541,0,1,1,2,0,8.66E-05,8.66E-05,0.000173295,
95969099999,-41.7333333,147.0833333,8499,0,2,34,52,0,0.000235322,0.004000471,0.006118367,
93598099999,-41.733,174.2,3671,0,0,0,2,0,0,0,0.000544811,
93597099999,-41.7166666,174.2666666,13240,0,1,1,3,0,7.55E-05,7.55E-05,0.000226586,
